Calendar Year,County,Number of Retail Locations,Non-Ethanol Gasoline Sales (in gallons),Ethanol Gasoline Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Clear and Dyed Biodiesel Sales (in gallons)	,Pure Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2012,Adair,12,1557206,6642836,4078004,691006,,9.12
2012,Allamakee,15,1479566,6239864,2077975,50642,,8.12
2012,Appanoose,15,833572,4780801,1089620,466752,,8.93
2012,Audubon,8,346217,2232881,777764,859692,,10.37
2012,Benton,26,2669341,7896317,5596755,1581181,,8.26
2012,Black Hawk,69,10151267,49686355,8471327,17694145,,10.74
2012,Boone,13,1266317,8606144,1793978,300962,,8.89
2012,Bremer,15,2072919,9323327,2723748,78303,,8.21
2012,Buchanan,17,1472987,7624165,1895849,1318177,,8.67
2012,Buena Vista,27,1268469,8740143,5878092,239039,,9.24
2012,Butler,15,981776,5523329,1244062,1388564,,9.39
2012,Calhoun,19,549472,3877823,1403975,0,,8.85
2012,Carroll,26,2294422,7502374,8033765,10472,,8.34
2012,Cass,16,965237,6884581,1893878,408929,,9.4
2012,Cedar,20,1692805,8451964,3786368,12823092,,10.63
2012,Cerro Gordo,30,5681692,25977015,1729405,17887978,,14.2
2012,Cherokee,14,933621,4002457,1638504,424457,,8.9
2012,Chickasaw,13,1267598,5606321,2622316,1753935,,10.06
2012,Clarke,9,1572169,5984991,1912738,8667042,,18.13
2012,Clay,27,1089858,7207551,2452962,687184,,10.71
2012,Clayton,25,2037360,7680689,1579823,357371,,8.26
2012,Clinton,32,2996135,24010504,10200082,77856,,9.1
2012,Crawford,15,1549150,5408633,4486506,1065,,8.61
2012,Dallas,38,6534785,32132701,5395258,3231092,,9.13
2012,Davis,5,308569,1728120,562705,0,,8.48
2012,Decatur,6,759189,2466651,334745,171968,,9.36
2012,Delaware,15,1538054,7092971,2238391,1225101,,9.34
2012,Des Moines,21,3215899,12679951,1332314,374808,,8.09
2012,Dickinson,25,3234543,6750477,1742488,244036,,7.67
2012,Dubuque,70,15531979,36254336,7427252,4139469,,7.74
2012,Emmet,12,704860,4055984,1136881,1127937,,10.4
2012,Fayette,22,1208883,7446643,16784033,86558,,9.74
2012,Floyd,16,1646468,6095976,4773186,209650,,9.14
2012,Franklin,16,537699,4518010,4013627,377288,,9.83
2012,Fremont,9,891149,3401612,2327073,144288,,8.67
2012,Greene,11,382937,3348322,1367208,0,,8.97
2012,Grundy,15,1133621,5964334,5118353,2212784,,9.74
2012,Guthrie,14,604341,4022198,1196253,0,,9.15
2012,Hamilton,20,1427208,6723465,4283346,3100020,,10.38
2012,Hancock,12,644841,2981122,3081546,29606,,8.81
2012,Hardin,25,1468873,8230164,5608991,56928,,8.51
2012,Harrison,19,1645477,5821607,3368393,218297,,8.08
2012,Henry,19,1092549,6002810,1004261,122595,,10.01
2012,Howard,11,795343,3873388,2232796,521192,,9.09
2012,Humboldt,14,655841,3534046,3162501,93418,,9.42
2012,Ida,12,562577,2772357,1639017,184877,,10.16
2012,Iowa,18,2072473,7620685,2407957,657696,,8.72
2012,Jackson,21,1312341,6348707,4011483,28434,,8.29
2012,Jasper,31,2835227,15821048,10659964,5629675,,10.28
2012,Jefferson,16,1414695,4640041,1825906,1135771,,9.7
2012,Johnson,58,10298519,37749378,4255971,5412388,,9
2012,Jones,15,1421013,6798840,2957325,0,,8.25
2012,Keokuk,12,682455,3902198,1032105,1725764,,11.1
2012,Kossuth,19,1270029,7269037,9887029,449781,,9.34
2012,Lee,22,3706491,12648734,4356936,117750,,7.84
2012,Linn,94,15088079,77556050,10280258,3474734,,9.22
2012,Louisa,9,545334,3722812,1043704,728969,,9.75
2012,Lucas,9,607300,2680240,225795,2261069,,10.35
2012,Lyon,14,1463794,5120440,2796418,21887,,8.35
2012,Madison,12,1312982,7006617,6490062,1625706,,9.84
2012,Mahaska,17,1048350,9175895,3230774,2682976,,11.07
2012,Marion,28,1627390,12489086,1944501,201063,,9.18
2012,Marshall,26,3017930,11734314,3129217,1241,,7.93
2012,Mills,10,1325756,4467163,1557310,159446,,7.92
2012,Mitchell,12,916146,3354310,689483,0,,8.12
2012,Monona,13,1415499,4833112,4166855,1013991,,9.54
2012,Monroe,7,454021,3039040,123427,0,,8.7
2012,Montgomery,9,706686,2763640,947371,0,,8.16
2012,Muscatine,23,2361789,13504308,3294952,128316,,8.69
2012,OBrien,23,1594052,5888274,4205427,286830,,8.72
2012,Osceola,10,405917,2045239,2669896,20324,,8.73
2012,Page,10,979351,4901000,725455,464481,,8.89
2012,Palo Alto,16,683998,4006874,4081513,0,,9.44
2012,Plymouth,18,3501862,9565952,13129847,1290553,,8.16
2012,Pocahontas,8,456479,2666905,5374847,299837,,8.96
2012,Polk,183,40079583,173243607,29642234,57297506,,11.67
2012,Pottawattamie,53,10621562,35671029,8570147,25960835,,11.78
2012,Poweshiek,20,3359865,10744859,11399116,12097099,,17.45
2012,Ringgold,6,231539,1273918,2084618,,,8.46
2012,Sac,18,974303,4486690,2315537,4506,,8.22
2012,Scott,96,12999272,98638931,5462876,48654908,,14.5
2012,Shelby,14,1092917,3503746,4431169,1255589,,9.69
2012,Sioux,33,3654857,9715339,9665805,4893488,,11.15
2012,Story,45,7279851,32795953,2416770,2151442,,8.96
2012,Tama,19,1247825,5672438,3879700,22351,,8.36
2012,Taylor,7,383788,1991594,1333320,,,9.17
2012,Union,13,798652,4929075,1200698,,,8.61
2012,Van Buren,9,480380,2149270,722050,76885,,8.37
2012,Wapello,26,5992013,23701538,7694074,3719248,,8.98
2012,Warren,28,2896628,20157670,1140767,1278944,,9.49
2012,Washington,23,2499966,10278566,4056953,9747556,,14.25
2012,Wayne,9,395895,1966067,138655,596435,,8.98
2012,Webster,36,2061402,15814277,3497435,100661,,9.26
2012,Winnebago,18,1045676,4286587,2302093,17350,,8.51
2012,Winneshiek,19,1810048,7993616,5111052,233805,,8.28
2012,Woodbury,61,11565782,36811550,7736870,1840817,,8.26
2012,Worth,9,1402286,3938226,684761,259865,,8
2012,Wright,23,1137896,4829875,2975180,165688,,7.57
2013,Adair,12,1591221,6893421,4153996,429577,,9.85
2013,Allamakee,19,1532728,6239247,1829744,639669,,11.64
2013,Appanoose,15,748360,4617147,1386849,401997,,8.44
2013,Audubon,8,295098,2211311,1086490,1169712,,9.01
2013,Benton,22,2612191,8888471,3620650,1401110,,11.15
2013,Black Hawk,68,9951778,46035760,7339163,17481975,,8.5
2013,Boone,14,1270992,8692158,2588025,383616,,11.1
2013,Bremer,14,2200692,9229073,2768021,44154,,9.01
2013,Buchanan,18,1553953,6846580,1762984,1290416,,8.09
2013,Buena Vista,22,1090070,8321688,5262762,0,,8.5
2013,Butler,12,996515,5132022,959080,1224802,,9.26
2013,Calhoun,11,689001,4737016,2684438,0,,11.76
2013,Carroll,24,1962491,7573010,8642857,85448,,8.73
2013,Cass,18,1130883,7693066,4032158,116206,,9.05
2013,Cedar,19,1611468,7925744,4486620,13071750,,9.38
2013,Cerro Gordo,31,5444824,24829867,3246410,16654758,,21.1
2013,Cherokee,14,923533,4244669,2526267,300965,,14.05
2013,Chickasaw,12,1444738,5717920,4392432,1906479,,9.32
2013,Clarke,7,1372638,5476120,1466380,8878211,,10.32
2013,Clay,25,1090044,6876522,2509267,457427,,20.22
2013,Clayton,22,1947281,7165441,1580535,284528,,10.69
2013,Clinton,28,3098435,19905060,9028227,121735,,8.17
2013,Crawford,15,1397619,5732766,4783589,36650,,8.88
2013,Dallas,36,6218779,31641888,5120648,3685230,,9.44
2013,Davis,5,388554,2030162,446424,0,,9.63
2013,Decatur,5,824474,2255201,264056,156326,,8.39
2013,Delaware,13,1069016,5606423,2229581,0,,9
2013,Des Moines,27,3123038,13486045,1801868,38701,,8.97
2013,Dickinson,28,2479063,7471699,2695875,223406,,8.13
2013,Dubuque,55,10670984,30532182,8890282,2087830,,8.47
2013,Emmet,10,619157,3583411,1181012,1141382,,8.07
2013,Fayette,18,1040802,6312854,17071507,80642,,10.77
2013,Floyd,17,1755468,5663596,4346364,242344,,9.34
2013,Franklin,15,850901,5005663,4262010,777870,,8.42
2013,Fremont,8,707702,4072297,1176000,9675061,,9.87
2013,Greene,10,456257,3685357,1211214,89798,,27.85
2013,Grundy,15,1135417,5621804,5533353,2022588,,9.09
2013,Guthrie,11,723973,4750699,1188591,8340494,,8.63
2013,Hamilton,18,1376490,6679232,3343880,3192385,,16.95
2013,Hancock,12,733096,3515035,3853556,69442,,11.78
2013,Hardin,20,1184149,7255440,5151734,334245,,8.8
2013,Harrison,18,1351097,5853375,3520710,103749,,8.82
2013,Henry,16,1721823,9037938,739264,217466,,8.71
2013,Howard,13,837042,4665182,3709886,798601,,8.64
2013,Humboldt,15,783752,4115397,3577708,24328,,10.96
2013,Ida,12,604480,2817645,2042675,914880,,8.41
2013,Iowa,16,1884893,6333893,4174091,625737,,10.12
2013,Jackson,20,1279470,6760832,3256456,50417,,8.53
2013,Jasper,29,2943408,16114198,3351715,15376591,,8.54
2013,Jefferson,15,1211705,4220567,1663459,1161752,,15.42
2013,Johnson,57,9052021,38848448,4947062,5568950,,10.85
2013,Jones,11,1170119,6368638,2264405,1122,,9.77
2013,Keokuk,12,748499,4293549,1413410,1385519,,8.45
2013,Kossuth,19,1473893,7766008,11980132,6167125,,11.44
2013,Lee,26,3088426,14714657,4940697,509512,,12.63
2013,Linn,89,16095788,78522584,10154292,5074184,,8.45
2013,Louisa,8,562226,3757957,663898,241268,,9.56
2013,Lucas,10,698273,3072648,223647,2102922,,9.6
2013,Lyon,13,1255451,4670415,2987109,46407,,11.27
2013,Madison,11,1350772,7058276,6628224,1343939,,8.57
2013,Mahaska,16,1103673,9214026,3016397,2964623,,10.2
2013,Marion,23,1609269,12729095,3026030,251475,,11.38
2013,Marshall,26,2691363,11748586,1565311,1094911,,9.26
2013,Mills,10,1099372,4215277,2052354,675495,,8.52
2013,Mitchell,12,915362,3473534,352132,167809,,8.57
